Sub,MIP_Con,Pic_Con,Avg_Pic_Rate,STAI1_pos,STAI1_neg,mood1_happy,mood1_sad,mood1_inspired,mood1_angry,STAI2_pos,STAI2_neg,mood2_happy,mood2_sad,mood2_inspired,mood2_angry,Age,"Gender (1=M,2=F)"
495,Neut,Urb,5.233333333,2,2,67,35,56,16,2.666666667,1.333333333,43,22,56,9,23,1
496,Neg,Urb,5.566666667,2,3,25,84,64,18,3,1.333333333,72,40,82,11,39,1
497,Neut,Nat,6.4,3,1.666666667,70,0,50,0,3,1.666666667,71,0,49,0,39,2
498,Neg,Urb,5.466666667,4,1,27,0,27,0,4,1,89,0,55,1,37,2
499,Neut,Anim,4.4,1,1,6,3,2,5,3,1,41,0,42,0,27,2
500,Neg,Urb,5.933333333,1,3.333333333,10,90,0,59,1,3,2,30,21,0,21,2
501,Neg,Nat,4.1,3,1.333333333,30,69,39,4,3.333333333,1,75,8,67,2,50,2
502,Neg,Anim,4.833333333,3.333333333,1.666666667,0,91,0,0,2.666666667,1,60,0,0,0,27,2
503,Neg,Urb,5.366666667,2,3,7,75,13,28,3,2,39,21,57,28,54,1
504,Neg,Anim,7,2,3,10,100,20,70,3,1.666666667,80,20,19,0,36,1
505,Neg,Nat,6.833333333,1.333333333,3,9,95,80,1,3.333333333,1,93,1,89,5,32,2
506,Neut,Urb,5.666666667,4,1.333333333,48,0,40,0,4,1,90,0,79,0,27,2
507,Neg,Urb,3.7,1.333333333,3,33,98,67,22,2,2.333333333,70,20,81,9,39,2
508,Neut,Nat,5.333333333,3.333333333,1,93,0,99,0,3.333333333,1,99,12,96,0,20,2
509,Neg,Nat,5.933333333,2,2.333333333,51,72,48,24,3,1,77,13,72,16,23,1
510,Neg,Anim,6.266666667,1,3,1,98,3,23,4,1,96,0,77,2,54,2
511,Neut,Urb,3.233333333,3,1,50,0,21,0,3,1,50,0,20,0,57,2
512,Neg,Nat,5.8,2.666666667,2.333333333,76,41,62,77,3,1,49,0,44,0,31,1
513,Neut,Anim,5.666666667,3,1,9,0,50,0,4,1,50,0,70,0,39,2
514,Neut,Anim,4.6,3,1.333333333,71,2,70,7,3,1,70,0,70,0,42,1
515,Neut,Urb,5.633333333,1.333333333,4,27,27,56,18,1,3,8,76,21,41,33,2
516,Neut,Urb,5.066666667,1,1,0,0,0,0,1,1,0,0,0,0,26,2
517,Neg,Nat,6.366666667,2.333333333,2.333333333,0,100,50,0,4,1,100,0,100,0,36,1
518,Neg,Urb,5.066666667,1,1.666666667,0,68,90,0,2,1,16,8,25,1,41,1
519,Neg,Nat,5.3,2,3.666666667,0,100,0,0,3,2,0,50,39,0,24,2
520,Neg,Nat,6.833333333,2,3,20,53,21,13,2,1.666666667,34,19,64,4,48,1
521,Neut,Urb,3.966666667,4,1.333333333,70,19,0,10,4,1,80,0,19,0,55,1
522,Neut,Anim,6.866666667,3.333333333,1.333333333,86,9,91,1,4,1,99,2,90,2,42,2
523,Neut,Nat,5.333333333,3.666666667,1,43,5,8,5,3.666666667,1,63,4,55,5,31,1
524,Neg,Anim,6.3,2,3.333333333,5,100,71,16,3,2,96,13,24,2,25,2
525,Neut,Nat,7,4,1,100,0,0,0,4,1,100,0,9,0,33,2
526,Neg,Nat,5,2.333333333,3,62,62,67,69,2.666666667,2.666666667,71,62,68,80,25,1
527,Neg,Anim,6.9,1.333333333,1.666666667,0,67,0,0,3.666666667,1,100,0,57,0,29,1
528,Neut,Anim,6.733333333,3,1,71,0,70,0,3,1,84,0,50,0,38,1
529,Neut,Urb,3.8,3,1,63,1,63,1,2.333333333,1,49,10,29,0,43,2
530,Neg,Anim,3.933333333,3,2.333333333,72,38,49,47,3.333333333,2,76,21,67,33,34,1
531,Neg,Urb,4.666666667,2,2,22,62,48,7,3,1.666666667,49,26,75,0,24,1
532,Neut,Urb,6.5,3,1,60,0,75,0,3,1,71,0,70,0,54,2
